Destination,Buy rate
Swaziland [FIX]                                   ,€ 0.08700
Swaziland [MOB]                                   ,€ 0.11900
Sweden [FIX]                                      ,€ 0.01000
Sweden [MOB]                                      ,€ 0.01800
Sweden [SPC]                                      ,€ 0.01000
Switzerland [84X][EXCL]                           ,€ 0.02600
Switzerland [FIX]                                 ,€ 0.13000
Switzerland [FREE]                                ,€ 0.03700
Switzerland [MOB]                                 ,€ 0.33000
Switzerland [SPC]                                 ,€ 0.04100
Syrian Arab Republic [FIX]                        ,€ 0.16100
Syrian Arab Republic [MOB]                        ,€ 0.30900
Taiwan [FIX]                                      ,€ 0.02000
Taiwan [MOB]                                      ,€ 0.06600
Tajikistan [FIX]                                  ,€ 0.12200
Tajikistan [MOB]                                  ,€ 0.12900
Tanzania [FIX]                                    ,€ 0.19100
Tanzania [MOB]                                    ,€ 0.18200
Thailand [FIX]                                    ,€ 0.03300
Thailand [MOB]                                    ,€ 0.02100
Thuraya [MOB] [EXCL]                              ,€ 1.48500
Togo [FIX]                                        ,€ 0.48800
Togo [MOB]                                        ,€ 0.28600
Tonga [FIX]                                       ,€ 39.17200
Tonga [MOB]                                       ,€ 0.65300
Trinidad and Tobago [FIX]                         ,€ 0.07000
Trinidad and Tobago [MOB]                         ,€ 0.11900
Tunisia [FIX]                                     ,€ 0.62000
Tunisia [MOB]                                     ,€ 0.67700
Turkey [FIX]                                      ,€ 0.02800
Turkey [MOB]                                      ,€ 0.19400
Turkey northern Cyprus [FIX] [EXCL]               ,€ 0.02900
Turkey northern Cyprus [MOB] [EXCL]               ,€ 0.07200
Turkmenistan [FIX]                                ,€ 0.16400
Turkmenistan [MOB]                                ,€ 0.17900
Turks and Caicos [FIX]                            ,€ 0.14100
Turks and Caicos [MOB]                            ,€ 0.15500
Tuvalu [FIX]                                      ,€ 13.45600
US Virgin Islands [FIX]                           ,€ 0.02100
US Virgin Islands [MOB]                           ,€ 0.02100
Uganda [FIX]                                      ,€ 0.24200
Uganda [MOB]                                      ,€ 0.26200
Ukraine [FIX]                                     ,€ 0.09300
Ukraine [MOB]                                     ,€ 0.19300
United Arab Emirates [FIX]                        ,€ 0.12200
United Arab Emirates [MOB]                        ,€ 0.79300
United Kingdom [084 Rate]                         ,€ 0.07400
United Kingdom [087 Rate]                         ,€ 0.12700
United Kingdom [FIX]                              ,€ 0.01800
United Kingdom [FREE]                             ,€ 0.00800
United Kingdom [MOB2]                             ,€ 0.08600
United Kingdom [MOB]                              ,€ 0.01900
United Kingdom [Personal]                         ,€ 0.17800
United Kingdom [SPC]                              ,€ 0.10400
Uruguay [FIX]                                     ,€ 0.05500
Uruguay [MOB]                                     ,€ 0.13500
Uzbekistan [FIX]                                  ,€ 0.11500
Uzbekistan [MOB]                                  ,€ 0.08500
Vanuatu [FIX]                                     ,€ 1.38900
Vanuatu [MOB]                                     ,€ 3.69300
Venezuela [FIX]                                   ,€ 0.01800
Venezuela [MOB]                                   ,€ 0.04600
Viet Nam [FIX]                                    ,€ 0.05200
Viet Nam [MOB]                                    ,€ 0.15500
Wallis and Futuna [FIX]                           ,€ 0.22400
Yemen [FIX]                                       ,€ 0.53900
Yemen [MOB]                                       ,€ 0.53600
Zambia [FIX]                                      ,€ 0.22500
Zambia [MOB]                                      ,€ 0.30300
Zimbabwe [FIX]                                    ,€ 0.17900
Zimbabwe [MOB]                                    ,€ 0.35500
